      13
       1
  2011     4     1
       8
       2       165572.      1926459.       0.660
       4       182242.      1976856.       0.514
       5       178689.      2006712.       0.523
       8       189419.      2025252.       0.533
       9       186258.      2019285.       1.397
      11       167748.      1943791.       0.584
      13       167748.      1943791.       0.584
      15       167792.      1945013.       0.584
       1
  2012     4     1
       9
       2       165572.      1926459.       0.760
       4       182242.      1976856.       0.659
       5       178689.      2006712.       0.561
       7       165548.      1926434.       0.760
       8       189419.      2025252.       1.118
       9       186258.      2019285.       1.219
      11       167748.      1943791.       0.725
      13       167748.      1943791.       0.725
      15       167792.      1945013.       0.719
       1
  2013     4     1
       8
       2       165572.      1926459.       0.460
       4       182242.      1976856.       0.358
       5       178689.      2006712.       0.328
       8       189419.      2025252.       0.864
       9       186258.      2019285.       0.610
      11       167748.      1943791.       0.449
      13       167748.      1943791.       0.449
      15       167792.      1945013.       0.449
       1
  2014     4     1
       8
       2       165572.      1926459.       0.760
       4       182242.      1976856.       0.520
       5       178689.      2006712.       0.581
       7       165548.      1926434.       0.740
       8       189419.      2025252.       0.940
      11       167748.      1943791.       0.655
      13       167748.      1943791.       0.655
      15       167792.      1945013.       0.660
       1
  2015     4     1
       5
       2       165572.      1926459.       0.640
       4       182242.      1976856.       0.560
       5       178689.      2006712.       0.610
       7       165548.      1926434.       0.690
       8       189419.      2025252.       0.965
       1
  2016     4     1
       7
       2       165572.      1926459.       0.760
       4       182242.      1976856.       0.525
       5       178689.      2006712.       0.594
       8       189419.      2025252.       1.346
      11       167748.      1943791.       0.660
      13       167748.      1943791.       0.660
      15       167792.      1945013.       0.660
       1
  2017     4     1
       4
       2       165572.      1926459.       0.660
       4       182242.      1976856.       0.482
       5       178689.      2006712.       0.532
       8       189419.      2025252.       1.270
       1
  2018     4     1
       9
       2       165572.      1926459.       0.890
       4       182242.      1976856.       0.579
       5       178689.      2006712.       0.605
       8       189419.      2025252.       1.346
      19       167580.      1945464.       0.780
      20       166466.      1926598.       0.920
      21       208202.      2007772.       0.597
      22       208474.      1933642.       0.949
      23       200888.      1954070.       0.597
       1
  2019     4     1
      12
       2       165572.      1926459.       1.040
       4       182242.      1976856.       0.601
       5       178689.      2006712.       0.749
       8       189419.      2025252.       1.245
      11       167748.      1943791.       1.041
      13       167748.      1943791.       1.041
      15       167792.      1945013.       1.041
      19       167580.      1945464.       0.896
      21       208202.      2007772.       0.831
      22       208474.      1933642.       1.078
      23       200888.      1954070.       0.828
      24       166906.      1934131.       1.109
       1
  2020     4     1
       5
       2       165572.      1926459.       0.940
       8       189419.      2025252.       0.991
      11       167748.      1943791.       0.686
      13       167748.      1943791.       0.686
      15       167792.      1945013.       0.686
       1
  2021     4     1
       7
       2       165572.      1926459.       0.660
       4       182242.      1976856.       0.480
       5       178689.      2006712.       0.460
       8       189419.      2025252.       1.041
      11       167748.      1943791.       0.457
      13       167748.      1943791.       0.457
      15       167792.      1945013.       0.457
       1
  2022     4     1
       6
       2       165572.      1926459.       0.760
       4       182242.      1976856.       0.598
       5       178689.      2006712.       0.599
       8       189419.      2025252.       0.991
      11       167748.      1943791.       0.711
      13       167748.      1943791.       0.711
       1
  2023     4     1
       6
       2       165572.      1926459.       0.810
       4       182242.      1976856.       0.529
       7       165548.      1926434.       0.910
       8       189419.      2025252.       1.041
      11       167748.      1943791.       0.851
      13       167748.      1943791.       0.851
