     1  4486-388381033    
     2  5182-38788 438    
     3  4944-38724 718    
     4  4356-38822 940    
     5  4766-383291046    
     6  4371-385531119    
     7  4661-381791196    
     8  4759-38194 367    
     9  4640-38233 668    
    10  4711-38083 731    
    11  4534-38240 772    
    12  5185-387945J06    
    13  5045-388215J15    
    14 -9999 -99996J07    
    15 -9999 -99996J12    
    16  4787-382236H02    
    17  4802-382406H03    
    18  4592-382526H05    
    19  4536-382556H06    
    20  4824-383886H11    
    21  4830-384996H12    
    22 -9999 -99996H13    
    23 -9999 -99996H14    
    24  4643-381566H16    
    25  4713-381526H17    
    26  4351-384686H18    
    27 -9999 -99996H19    
    28 -9999 -99996H20    
    29  4830-384996H24    
    30  4643-381566H26    
