       3
       4
  2020    12     1
      11
       1       871630.      4525334.       0.089
       2       941215.      4530369.       0.107
       3       917437.      4536703.       0.091
       4       858615.      4526990.       0.069
       5       899692.      4576204.       0.089
       6       860199.      4553857.       0.160
       7       889135.      4591214.       0.201
       8       898998.      4589752.       0.107
       9       887024.      4585814.       0.119
      10       894143.      4600861.       0.173
      11       876407.      4585103.       0.046
  2021     1     1
      11
       1       871630.      4525334.       0.170
       2       941215.      4530369.       0.163
       3       917437.      4536703.       0.142
       4       858615.      4526990.       0.155
       5       899692.      4576204.       0.145
       6       860199.      4553857.       0.267
       7       889135.      4591214.       0.335
       8       898998.      4589752.       0.180
       9       887024.      4585814.       0.246
      10       894143.      4600861.       0.272
      11       876407.      4585103.       0.104
  2021     2     1
      11
       1       871630.      4525334.       0.264
       2       941215.      4530369.       0.206
       3       917437.      4536703.       0.175
       4       858615.      4526990.       0.231
       5       899692.      4576204.       0.229
       6       860199.      4553857.       0.368
       7       889135.      4591214.       0.526
       8       898998.      4589752.       0.287
       9       887024.      4585814.       0.404
      10       894143.      4600861.       0.394
      11       876407.      4585103.       0.160
  2021     3     1
      11
       1       871630.      4525334.       0.475
       2       941215.      4530369.       0.333
       3       917437.      4536703.       0.282
       4       858615.      4526990.       0.444
       5       899692.      4576204.       0.373
       6       860199.      4553857.       0.592
       7       889135.      4591214.       0.831
       8       898998.      4589752.       0.493
       9       887024.      4585814.       0.597
      10       894143.      4600861.       0.582
      11       876407.      4585103.       0.216
       4
  2021    12     1
      11
       1       871630.      4525334.       0.066
       2       941215.      4530369.       0.094
       3       917437.      4536703.       0.056
       4       858615.      4526990.       0.081
       5       899692.      4576204.       0.091
       6       860199.      4553857.       0.130
       7       889135.      4591214.       0.173
       8       898998.      4589752.       0.071
       9       887024.      4585814.       0.160
      10       894143.      4600861.       0.140
      11       876407.      4585103.       0.013
  2022     1     1
      11
       1       871630.      4525334.       0.305
       2       941215.      4530369.       0.254
       3       917437.      4536703.       0.211
       4       858615.      4526990.       0.315
       5       899692.      4576204.       0.249
       6       860199.      4553857.       0.394
       7       889135.      4591214.       0.467
       8       898998.      4589752.       0.274
       9       887024.      4585814.       0.371
      10       894143.      4600861.       0.356
      11       876407.      4585103.       0.124
  2022     2     1
      11
       1       871630.      4525334.       0.455
       2       941215.      4530369.       0.343
       3       917437.      4536703.       0.290
       4       858615.      4526990.       0.384
       5       899692.      4576204.       0.333
       6       860199.      4553857.       0.523
       7       889135.      4591214.       0.577
       8       898998.      4589752.       0.368
       9       887024.      4585814.       0.442
      10       894143.      4600861.       0.444
      11       876407.      4585103.       0.160
  2022     3     1
      11
       1       871630.      4525334.       0.500
       2       941215.      4530369.       0.391
       3       917437.      4536703.       0.333
       4       858615.      4526990.       0.444
       5       899692.      4576204.       0.376
       6       860199.      4553857.       0.582
       7       889135.      4591214.       0.622
       8       898998.      4589752.       0.404
       9       887024.      4585814.       0.483
      10       894143.      4600861.       0.498
      11       876407.      4585103.       0.185
       1
  2022    12     1
      11
       1       871630.      4525334.       0.109
       2       941215.      4530369.       0.102
       3       917437.      4536703.       0.097
       4       858615.      4526990.       0.130
       5       899692.      4576204.       0.071
       6       860199.      4553857.       0.147
       7       889135.      4591214.       0.157
       8       898998.      4589752.       0.097
       9       887024.      4585814.       0.147
      10       894143.      4600861.       0.142
      11       876407.      4585103.       0.089
